product_category_name,maior_peso,menor_peso,avg_peso
NULL,30000.0,50.0,2250.76518883415
agro_industria_e_comercio,30000.0,50.0,5263.4054054054
alimentos,8238.0,75.0,923.414634146341
alimentos_bebidas,10800.0,50.0,1307.93269230769
artes,15400.0,100.0,1691.76363636364
artes_e_artesanato,6850.0,100.0,1164.57894736842
artigos_de_festas,27050.0,50.0,2705.76923076923
artigos_de_natal,15400.0,50.0,1849.81538461538
audio,6663.0,100.0,641.637931034483
automotivo,30000.0,50.0,2654.65052631579
bebes,30000.0,50.0,3655.20152505447
bebidas,9900.0,100.0,1736.17283950617
beleza_saude,30000.0,50.0,1434.7937806874
brinquedos,30000.0,50.0,1869.35648476258
cama_mesa_banho,40425.0,0.0,2456.4050841862
casa_conforto,23000.0,100.0,3800.45045045045
casa_conforto_2,3750.0,425.0,1467.6
casa_construcao,30000.0,50.0,3395.71555555556
cds_dvds_musicais,550.0,550.0,550.0
cine_foto,5500.0,100.0,795.785714285714
climatizacao,23300.0,100.0,4459.95967741936
consoles_games,30000.0,50.0,636.659305993691
construcao_ferramentas_construcao,30000.0,50.0,3550.0525
construcao_ferramentas_ferramentas,4700.0,100.0,1047.82051282051
construcao_ferramentas_iluminacao,15750.0,150.0,2280.96153846154
construcao_ferramentas_jardim,25750.0,65.0,2401.03409090909
construcao_ferramentas_seguranca,9450.0,53.0,950.769230769231
cool_stuff,30000.0,50.0,2566.57921419518
dvds_blu_ray,2600.0,90.0,381.5625
eletrodomesticos,30000.0,50.0,1979.65405405405
eletrodomesticos_2,30000.0,250.0,9913.33333333333
eletronicos,24050.0,60.0,1275.08510638298
eletroportateis,30000.0,50.0,4012.39826839827
esporte_lazer,30000.0,50.0,2024.67073596093
fashion_bolsas_e_acessorios,21100.0,50.0,426.764428739694
fashion_calcados,9000.0,100.0,1044.50867052023
fashion_esporte,1500.0,100.0,344.736842105263
fashion_roupa_feminina,1700.0,200.0,572.222222222222
fashion_roupa_infanto_juvenil,600.0,100.0,324.0
fashion_roupa_masculina,1900.0,100.0,559.736842105263
fashion_underwear_e_moda_praia,2300.0,100.0,362.264150943396
ferramentas_jardim,30000.0,50.0,3103.77689243028
flores,6000.0,200.0,1403.57142857143
fraldas_higiene,5100.0,200.0,1037.5
industria_comercio_e_negocios,30000.0,200.0,5929.19117647059
informatica_acessorios,24050.0,50.0,898.377669310555
instrumentos_musicais,30000.0,50.0,3361.03806228374
la_cuisine,12500.0,450.0,4350.0
livros_importados,1300.0,150.0,596.774193548387
livros_interesse_geral,13300.0,100.0,746.611111111111
livros_tecnicos,8900.0,110.0,1107.84552845528
malas_acessorios,24500.0,100.0,3723.28366762178
market_place,30000.0,50.0,1544.10576923077
moveis_colchao_e_estofado,30000.0,1700.0,13190.0
moveis_cozinha_area_de_servico_jantar_e_jardim,30000.0,50.0,11598.5638297872
moveis_decoracao,30000.0,2.0,3008.26684230335
moveis_escritorio,30000.0,50.0,12740.8673139159
moveis_quarto,30000.0,50.0,9997.22222222222
moveis_sala,30000.0,400.0,8934.84615384615
musica,9750.0,82.0,1213.51851851852
papelaria,29000.0,2.0,1763.11307420495
pc_gamer,2839.0,650.0,1429.66666666667
pcs,25950.0,200.0,7995.33333333333
perfumaria,16050.0,50.0,529.256912442396
pet_shop,30000.0,50.0,3088.85674547983
portateis_casa_forno_e_cafe,16550.0,50.0,3071.51612903226
portateis_cozinha_e_preparadores_de_alimentos,10600.0,625.0,2517.5
relogios_presentes,22175.0,50.0,509.287434161023
seguros_e_servicos,1225.0,400.0,812.5
sinalizacao_e_seguranca,27100.0,100.0,2969.81720430108
tablets_impressao_imagem,1100.0,100.0,381.444444444444
telefonia,8100.0,50.0,236.506172839506
telefonia_fixa,6050.0,50.0,660.827586206897
utilidades_domesticas,30000.0,50.0,3020.79357601713
